Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name
Nova Scotia,3300983 Nova Scotia Limited,"Saint Peter's, NS B0E 3B0",1,3300983 Nova Scotia Limited,0632,Accommodation service managers
Nova Scotia,Antares Computers Limited,"Bridgewater, NS B4V 2S7",1,High Wage,0015,Senior managers 
Nova Scotia,Arbor View Inn,"Lunenburg, NS B0J 2C0",1,High Wage,0632,Accommodation service managers
Nova Scotia,Bay Side Home,"Barrington, NS B0W 1E0",1,High Wage,3012,Registered nurses and registered psychiatric nurses
Nova Scotia,Canadiana Pub & Grill Limited,"Halifax, NS B3S 1A2",1,High Wage,6332,Bakers
Nova Scotia,Cha Baa Thai Restaurant Bedford Ltd.,"Halifax, NS B3J 2J6",4,High Wage,6322,Cooks
Nova Scotia,Chapman Autobody Ltd,"Halifax, NS B3K 4C2",1,High Wage,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
Nova Scotia,Connors Transfer Limited,"Stellarton, NS B0K 1S0",6,High Wage,7511,Transport truck drivers
Nova Scotia,Dalhousie University,"Halifax, NS B3H 4R2",1,High Wage,4011,University professors and lecturers
Nova Scotia,Deep Down Cleaning Services Ltd.,"Halifax, NS B3S 1B4",1,High Wage,6315,Cleaning supervisors
Nova Scotia,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",10,High Wage,7511,Transport truck drivers
Nova Scotia,East Coast Cedar Homes Limited,"Bedford, NS B4A 1E5",1,High Wage,0016,Senior managers 
Nova Scotia,Gabadi Services Canada Inc.,"Dartmouth, NS B3B 1J4",2,High Wage,7295,Floor covering installers
Nova Scotia,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",4,High Wage,7511,Transport truck drivers
Nova Scotia,Halifax ALTA Gymnastics Club,"Halifax, NS B3L 4T7",1,High Wage,5252,Coaches
Nova Scotia,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",2,High Wage,0016,Senior managers 
Nova Scotia,Nova Scotia Health Authority,"North Sydney, NS B2A 3M4",5,High Wage,3111,Specialist physicians
Nova Scotia,Peter Green Hall Children's Centre,"Halifax, NS B3H 2Z9",1,High Wage,4214,Early childhood educators and assistants
Nova Scotia,Royal Nova Scotia Yacht Squadron,"Halifax, NS B3P 1C7",1,High Wage,5252,Coaches
Nova Scotia,Saint Mary's University,"Halifax, NS B3H 3C3",1,High Wage,4011,University professors and lecturers
Nova Scotia,Spectrum Hospitality Canada Inc.,"Halifax, NS B3J 2V1",5,High Wage,6321,Chefs
Nova Scotia,Suerteksa Canada Inc.,"Halifax, NS B3J 3N2",1,High Wage,0911,Manufacturing managers
Nova Scotia,Vista Care Communications Services of Canada,"Dartmouth, NS B3B 1C6",1,High Wage,7245,Telecommunications line and cable workers
Nova Scotia,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",5,High Wage,7511,Transport truck drivers
Nova Scotia,2294618 Nova Scotia Ltd.,"Dartmouth, NS B3A 1J9",1,2294618 Nova Scotia Ltd.,6322,Cooks
Nova Scotia,3099794 NS Ltd (Enfield Big Stop),"Enfield, NS B2T 1C8",3,Low Wage,6322,Cooks
Nova Scotia,3253587 Nova Scotia Ltd.,"Halifax, NS B4A 1B5",3,Low Wage,6322,Cooks
Nova Scotia,3287893 NS Ltd.,"Halifax, NS B3J 1G5",1,Low Wage,6322,Cooks
Nova Scotia,3290188 NS Limited,"Halifax, NS B3M 3Y7",2,Low Wage,6322,Cooks
Nova Scotia,3294766 Nova Scotia Limited,"Halifax, NS B3J 2K4",1,Low Wage,6321,Chefs
Nova Scotia,3299155 Nova Scotia Limited,"Eastern Passage, NS B3G 1C2",1,Low Wage,4214,Early childhood educators and assistants
Nova Scotia,Advanced Wiring Solutions Inc.,"Fall River, NS B2T 1K6",1,Low Wage,7247,Cable television service and maintenance technicians
Nova Scotia,Aquashell Holdings Inc.,"Wallace, NS B0K 1Y0",16,Low Wage,9463,Fish and seafood plant workers
Nova Scotia,Balodis Incorporated,"Westville, NS B0K 2A0",2,Low Wage,7511,Transport truck drivers
Nova Scotia,Bayers Lake European Farmers Market,"Halifax, NS B3M 2L3",1,Low Wage,6332,Bakers
Nova Scotia,Bitar's Pizza Pasta & Grill Ltd.,"Elmsdale, NS B2S 1A8",1,Low Wage,6322,Cooks
Nova Scotia,Dieter's German Baked Goods & Cafe,"Annapolis Royal, NS B0S 1A0",1,Low Wage,6332,Bakers
Nova Scotia,Doraku Foods Limited,"Halifax, NS B3J 4A2",1,Low Wage,6322,Cooks
Nova Scotia,Hatfield Farm Inc.,"Hammonds Plains, NS B4B 1P4",1,Low Wage,6322,Cooks
Nova Scotia,Ihab Barber Shop,"Halifax, NS B3N 2C4",1,Low Wage,6341,Hairstylists and barbers
Nova Scotia,John's Steak House Limited,"Antigonish, NS B2G 1R6",2,Low Wage,6322,Cooks
Nova Scotia,Keddy Quality Foundations,"Aylesford, NS B0P 1C0",2,Low Wage,7611,Construction trades helpers and labourers
Nova Scotia,Lismore Seafoods Inc.,"Merigomish, NS B0K 1G0",16,Low Wage,9463,Fish and seafood plant workers
Nova Scotia,Mother's Hand Oriental Food & Grocery,"Halifax, NS B3K 3B6",1,Low Wage,6211,Retail sales supervisors
Nova Scotia,Namar Cuisine Ltd,"Halifax, NS B3L 4N9",2,Low Wage,6322,Cooks
Nova Scotia,North Nova Seafoods Ltd.,"Pictou, NS B0K 1H0",84,Low Wage,9463,Fish and seafood plant workers
Nova Scotia,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",20,Low Wage,9618,Labourers in fish and seafood processing
Nova Scotia,Pêcherie Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, NS B0E 1H0",40,Low Wage,9463,Fish and seafood plant workers
Nova Scotia,Premium Choice Shrimp Ltd.,"Arichat, NS B0E 1A0",7,Low Wage,9618,Labourers in fish and seafood processing
Nova Scotia,Queen Nails,"Sydney, NS B1P 6S9",1,Low Wage,6562,"Estheticians, electrologists and related occupations"
Nova Scotia,Restaurant Compose,"Annapolis Royal, NS B0S 1A0",2,Low Wage,6322,Cooks
Nova Scotia,Riverside Lobster International Inc.,"Meteghan River, NS B0W 2L0",82,Low Wage,9463,Fish and seafood plant workers
Nova Scotia,Song's Korean Restaurant,"Halifax, NS B3L 1A4",2,Low Wage,6322,Cooks
Nova Scotia,"The Dock Food, Spirits and Ales Ltd","New Glasgow, NS B2H 2K6",2,Low Wage,6322,Cooks
Nova Scotia,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, NS B0C 1N0",10,Low Wage,9618,Labourers in fish and seafood processing
Nova Scotia,Ye & Zhou Food Company,"Halifax, NS B3L 4P1",1,Low Wage,6322,Cooks
Nova Scotia,ZM Supreme Cleaning Services Limited,"Dartmouth, NS B3A 2B2",2,Low Wage,6731,Light duty cleaners
Nova Scotia,3226198 Nova Scotia Ltd/Vital Berry Farms,"Centreville, NS B0P 1J0",96,3226198 Nova Scotia Ltd/Vital Berry Farms,8431,General farm workers
Nova Scotia,Afton Hills Farm Limited,"Afton, NS B0H 1A0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Nova Scotia,Allen Farms Limited,"Centreville, NS B0P 1J0",72,Primary Agriculture,8431,General farm workers
Nova Scotia,Apples & Spice Orchards,"Waterville, NS B0P 1V0",6,Primary Agriculture,8431,General farm workers
Nova Scotia,Balamore Farm Ltd,"Great Village, NS B0M 1L0",167,Primary Agriculture,8431,General farm workers
Nova Scotia,Barteaux Farms,"Annapolis Royal, NS B0S 1A0",5,Primary Agriculture,8431,General farm workers
Nova Scotia,Basinview Farms Ltd,"Canning, NS B0P 1H0",14,Primary Agriculture,8431,General farm workers
Nova Scotia,Birchleigh Farms Ltd,"Berwick, NS B0P 1E0",12,Primary Agriculture,8431,General farm workers
Nova Scotia,Bragg Lumber Company,"Collingwood, NS B0M 1E0",5,Primary Agriculture,8431,General farm workers
Nova Scotia,Canard Orchards Ltd,"Centreville, NS B0P 1J0",13,Primary Agriculture,8431,General farm workers
Nova Scotia,CAP Farms Inc,"Grafton, NS B0P 1V0",3,Primary Agriculture,8431,General farm workers
Nova Scotia,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",9,Primary Agriculture,8431,General farm workers
Nova Scotia,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",9,Primary Agriculture,8431,General farm workers
Nova Scotia,Crisp Growers Inc.,"Wolfville, NS B4P 1J5",12,Primary Agriculture,8431,General farm workers
Nova Scotia,Eisses Farms Ltd,"Centreville, NS B0P 1J0",9,Primary Agriculture,8431,General farm workers
Nova Scotia,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",4,Primary Agriculture,8431,General farm workers
Nova Scotia,Forest Hills Farms,"Great Village, NS B0M 1L0",12,Primary Agriculture,8431,General farm workers
Nova Scotia,Fuller Brothers,"Avonport, NS B0P 1B0",10,Primary Agriculture,8431,General farm workers
Nova Scotia,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",18,Primary Agriculture,8432,Nursery and greenhouse workers
Nova Scotia,G.A.R. Tree Farms Ltd.,"Barss Corner, NS B0R 1A0",31,Primary Agriculture,8432,Nursery and greenhouse workers
Nova Scotia,H B Morse & Sons,"Berwick, NS B0P 1E0",7,Primary Agriculture,8431,General farm workers
Nova Scotia,Hillside Orchards,"Berwick, NS B0P 1E0",12,Primary Agriculture,8431,General farm workers
