Province,Employer,Address,Positions,NOC 2011,NOC Name
Newfoundland and Labrador,DOF Subsea Canada Corp.,,6,6513,Food and beverage servers
Newfoundland and Labrador,DOF Subsea Canada Corp.,,4,7242,Industrial electricians
Newfoundland and Labrador,DOF Subsea Canada Corp.,,8,7532,Water transport deck and engine room crew
Newfoundland and Labrador,EMC Enterprises Inc.,"Baie Verte, NL A0K 1B0",1,3236,Massage therapists
Newfoundland and Labrador,Exceed (XCD) Canada Limited,"St. John's, NL A1C 2G9",1,8222,"Contractors and supervisors, oil and gas drilling and services"
Newfoundland and Labrador,Exxonmobil Canada Properties Ltd,"St. John's, NL A1C 6K3",1,0711,Construction managers
Newfoundland and Labrador,Exxonmobil Canada Properties Ltd,,2,2133,Electrical and electronics engineers
Newfoundland and Labrador,F.D.A. Enterprises Ltd.,"St. John's, NL A1B 1V1",1,6322,Cooks
Newfoundland and Labrador,Forteau Sales & service,"Forteau, NL A0K 2P0",1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
Newfoundland and Labrador,Frontier Season 1 (NL) Inc.,"St. John's, NL A1C 6J9",4,5135,Actors and comedians
Newfoundland and Labrador,Genoa Design International Ltd,"Mount Pearl, NL A1N 4S7",2,2232,Mechanical engineering technologists and technicians
Newfoundland and Labrador,Goulds Foods Inc.,"St. John's, NL A1B 1R4",1,6322,Cooks
Newfoundland and Labrador,Green Food Industries Inc.,"St. John's, NL A1B 1W3",2,6322,Cooks
Newfoundland and Labrador,H&E Williams Dairy Farm,"Goulds, NL A1S 1G5",1,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Hancock's Distributors,"Forteau, NL A0K 2P0",1,6421,Retail salespersons
Newfoundland and Labrador,J & C Sod Farm Ltd,"Bay Bulls, NL A0A 1C0",3,8431,General farm workers
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,"St. John's, NL A1E 1E2",1,0211,Engineering managers
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,,2,0711,Construction managers
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,,1,0811,Managers in natural resources production and fishing
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,,6,2131,Civil engineers
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,,7,2148,"Other professional engineers, n.e.c."
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,,2,2231,Civil engineering technologists and technicians
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,,3,2273,"Deck officers, water transport"
Newfoundland and Labrador,Labrador-Grenfell Regional Health Authority,"St. Anthony, NL A0K 4S0",2,3111,Specialist physicians
Newfoundland and Labrador,Labrador-Grenfell Regional Health Authority,,1,3112,General practitioners and family physicians
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",2,8431,General farm workers
Newfoundland and Labrador,Leeward Enterprises,"Clarenville, NL A5A 1K5",1,3112,General practitioners and family physicians
Newfoundland and Labrador,Lester's Dairy Farm,"St. John's, NL A1E 6J4",1,8431,General farm workers
Newfoundland and Labrador,Lester's Farm Market,"Mount Pearl, NL A1N 2C4",10,8431,General farm workers
Newfoundland and Labrador,Letto's Enterprises Ltd.,"L'anse au Clair, NL A0K 3K0",1,6311,Food service supervisors
Newfoundland and Labrador,Letto's Enterprises Ltd.,,1,6312,Executive housekeepers
Newfoundland and Labrador,Letto's Enterprises Ltd.,,1,6322,Cooks
Newfoundland and Labrador,Little Peoples Workshop,"St. John's, NL A1E 5C3",1,4214,Early childhood educators and assistants
Newfoundland and Labrador,Lower Churchill Management Corp.,"St. John's, NL A1A 4E1",3,2131,Civil engineers
Newfoundland and Labrador,M &.P. Dairy Farm Ltd.,"Goulds, NL A1S 1G2",1,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Marmaris Holdings Inc.,"St. John's, NL A1A 5C9",2,6322,Cooks
Newfoundland and Labrador,Memorial University Of Newfoundland and Labrador,"St. John's, NL A1C 5S7",3,4011,University professors and lecturers
Newfoundland and Labrador,Merlo Associates Inc,"St. John's, NL A1B 3P9",1,6322,Cooks
Newfoundland and Labrador,Metroworth Consulting (Canada) Ltd.,"St. John's, NL A1N 3K4",1,8222,"Contractors and supervisors, oil and gas drilling and services"
Newfoundland and Labrador,Michele's Childcare,"Torbay, NL A1K 0G2",1,4411,Home child care providers
Newfoundland and Labrador,Mila Foods Inc.,"St John's, NL A1E 1T2",2,6311,Food service supervisors
Newfoundland and Labrador,Mom's Place Limited,"Happy Valley-Goose Bay, NL A0P 1C0",1,6322,Cooks
Newfoundland and Labrador,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0",3,0911,Manufacturing managers
Newfoundland and Labrador,New World Dairy Inc.,"St. David's, NL A0N 1X0",6,8431,General farm workers
Newfoundland and Labrador,Newfoundland & Labrador Hydro,"St. John's, NL A1B 4K7",1,0711,Construction managers
Newfoundland and Labrador,Newont Limited,"St. John's, NL A1E 2C5",2,6311,Food service supervisors
Newfoundland and Labrador,Norlab Limited,"Happy Valley-Goose Bay, NL A0P 1E0",2,6311,Food service supervisors
Newfoundland and Labrador,Normie's Enterprises Inc,"Corner Brook, NL A2H 6T2",3,6322,Cooks
Newfoundland and Labrador,O'Reilly's Irish Bar Inc.,"St. John's, NL A1C 5J9",2,6322,Cooks
Newfoundland and Labrador,Paradise Daycare 2009 Inc.,"Paradise, NL A0A 2E0",1,4214,Early childhood educators and assistants
Newfoundland and Labrador,Peter's Pizza,"Conception Bay South, NL A1W 3A4",2,6322,Cooks
Newfoundland and Labrador,Pure Energy Services Partnership,"St. John's, NL A1C 5V5",1,2212,Geological and mineral technologists and technicians
Newfoundland and Labrador,Red Indian Adventures Limited,"Grand Falls-Winsor, NL A2A 2K2",1,6316,Other services supervisors
Newfoundland and Labrador,Robbins Hearing Service Inc.,"St. John's, NL A1B 4S8",1,3141,Audiologists and speech
Newfoundland and Labrador,ROM Group Limited,"Torbay, NL A1K 1K9",3,6322,Cooks
Newfoundland and Labrador,Schlumberger Canada Limited,"Mount Pearl, NL A1N 5B1",2,8222,"Contractors and supervisors, oil and gas drilling and services"
Newfoundland and Labrador,Seadrill Canada Ltd.,"St. John's, NL A1E 0E4",1,0811,Managers in natural resources production and fishing
Newfoundland and Labrador,Seadrill Canada Ltd.,,2,2145,Petroleum engineers
Newfoundland and Labrador,Seadrill Canada Ltd.,,5,2241,Electrical and electronics engineering technologists and technicians
Newfoundland and Labrador,Seadrill Canada Ltd.,,1,2273,"Deck officers, water transport"
Newfoundland and Labrador,Seadrill Canada Ltd.,,2,2274,"Engineer officers, water transport"
Newfoundland and Labrador,Seadrill Canada Ltd.,,2,8222,"Contractors and supervisors, oil and gas drilling and services"
Newfoundland and Labrador,Seadrill Canada Ltd.,,4,8232,"Oil and gas well drillers, servicers, testers and related workers"
Newfoundland and Labrador,Solace Power Incorporated,"Mount Pearl, NL A1N 5E7",1,2133,Electrical and electronics engineers
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",3,0711,Construction managers
Newfoundland and Labrador,Subsea 7 Canada Inc.,,3,1221,Administrative officers
Newfoundland and Labrador,Subsea 7 Canada Inc.,,2,2145,Petroleum engineers
Newfoundland and Labrador,Subsea 7 Canada Inc.,,8,2154,Land surveyors
Newfoundland and Labrador,Subsea 7 Canada Inc.,,7,2232,Mechanical engineering technologists and technicians
Newfoundland and Labrador,Subsea 7 Canada Inc.,,21,2255,Technical occupations in geomatics and meteorology
Newfoundland and Labrador,Subsea 7 Canada Inc.,,11,2273,"Deck officers, water transport"
Newfoundland and Labrador,Subsea 7 Canada Inc.,,13,2274,"Engineer officers, water transport"
Newfoundland and Labrador,Subsea 7 Canada Inc.,,3,6322,Cooks
Newfoundland and Labrador,Subsea 7 Canada Inc.,,11,6513,Food and beverage servers
Newfoundland and Labrador,Subsea 7 Canada Inc.,,1,7237,Welders and related machine operators
Newfoundland and Labrador,Subsea 7 Canada Inc.,,5,7242,Industrial electricians
Newfoundland and Labrador,Subsea 7 Canada Inc.,,18,7302,"Contractors and supervisors, heavy equipment operator crews"
Newfoundland and Labrador,Subsea 7 Canada Inc.,,3,7311,Construction millwrights and industrial mechanics
Newfoundland and Labrador,Subsea 7 Canada Inc.,,8,7371,Crane operators
Newfoundland and Labrador,Subsea 7 Canada Inc.,,13,7532,Water transport deck and engine room crew
Newfoundland and Labrador,Sunrise Dairy Limited,"Musgravetown, NL A0C 1Z0",2,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Torbay Fun Foods Ltd.,"St. John's, NL A1A 4L6",2,6322,Cooks
Newfoundland and Labrador,Vale Newfoundland and Labrador Limited,"St. John's, NL A1C 1K4",1,0016,Senior managers 
Newfoundland and Labrador,West End Foods Limited oa Jungle Jims,"St. John's, NL A1B 4J9",2,6322,Cooks
Newfoundland and Labrador,West End Foods Limited oa Jungle Jims,"St. John's, NL A1E 2E3",3,6322,Cooks
Newfoundland and Labrador,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",8,3111,Specialist physicians
Newfoundland and Labrador,Western Regional Integrated Health Authority,,2,3112,General practitioners and family physicians
Newfoundland and Labrador,WorleyParsons Canada Services Ltd.,"St. John's, NL A1E 1E2",1,0711,Construction managers
Newfoundland and Labrador,WorleyParsons Canada Services Ltd.,,1,2232,Mechanical engineering technologists and technicians
Newfoundland and Labrador,WorleyParsons Canada Services Ltd.,,1,2233,Industrial engineering and manufacturing technologists and technicians
Newfoundland and Labrador,WorleyParsons Canada Services Ltd.,,2,2241,Electrical and electronics engineering technologists and technicians
Newfoundland and Labrador,WorleyParsons Canada Services Ltd.,,1,2263,Inspectors in public and environmental health and occupational health and safety
Newfoundland and Labrador,Yellow Belly Brewery Ltd,"St. John's, NL A1C 5J9",2,6322,Cooks
Prince Edward Island,6497942 Canada Inc.,"Charlottetown, PE C1A 6H7",2,6311,Food service supervisors
Prince Edward Island,7035233 Canada Inc,"Mount Stewart, PE C0A 1T0",3,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,Acadian Supreme Inc.,"Wellington, PE C0B 2E0",24,9463,Fish and seafood plant workers
Prince Edward Island,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0",5,9462,"Industrial butchers and meat cutters, poultry preparers and related workers"
Prince Edward Island,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",2,0822,Managers in horticulture
Prince Edward Island,Atlantic Grown Organics Inc,,9,8432,Nursery and greenhouse workers
Prince Edward Island,Beach Point Processing Company,"Beach Point, PE C0A 1V0",100,9463,Fish and seafood plant workers
Prince Edward Island,Belle River Enterprises Ltd.,"Belle River, PE C0A 1B0",10,9463,Fish and seafood plant workers
Prince Edward Island,Birch Farms Limited,"Summerside, PE C1N 4J9",2,8431,General farm workers
Prince Edward Island,Birkentree Holsteins Inc.,"Hunter River, PE C0A 1N0",1,8431,General farm workers
Prince Edward Island,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",14,8431,General farm workers
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",20,7511,Transport truck drivers
Prince Edward Island,Captain Cooke's Seafood Inc.,"Borden-Carleton, PE C0B 1X0",10,9463,Fish and seafood plant workers
Prince Edward Island,Carruthers Farms Ltd.,"Kensington, PE C0B 1M0",3,8431,General farm workers
Prince Edward Island,Cedar's Eatery,"Charlottetown, PE C1A 4L1",1,6322,Cooks
Prince Edward Island,Claddagh Holdings Inc.,"Charlottetown, PE C1A 1G5",1,6322,Cooks
Prince Edward Island,Eastern Exporters Limited,"Souris, PE C0A 2B0",2,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,Eastern Exporters Limited,,6,8431,General farm workers
Prince Edward Island,Eastern Farms Ltd,"Vernon River, PE C0A 2E0",24,8431,General farm workers
Prince Edward Island,Extondale Farms Ltd.,"Oyster Bed, PE C1E 1Z4",2,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,FR Enterprises Inc.,"Charlottetown, PE C1A 8Y3",1,6322,Cooks
Prince Edward Island,Frizzell's Valleyville Farm Inc.,"Hunter River, PE C0A 1N0",2,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,Great Enlightenment Buddhist Institute Society,"Little Sands, PE C0A 1W0",1,1123,"Professional occupations in advertising, marketing and public relations"
Prince Edward Island,Great Enlightenment Buddhist Institute Society,,5,5244,Artisans and craftspersons
Prince Edward Island,Hartshire Community Care Inc.,"Clyde River, PE C0A 1H1",1,4412,"Home support workers, housekeepers and related occupations"
Prince Edward Island,Health PEI,"Charlottetown, PE C1A 7N8",1,3111,Specialist physicians
Prince Edward Island,Health PEI,,3,3112,General practitioners and family physicians
Prince Edward Island,HillTop Produce Ltd,"Kinkora, PE C0B 1N0",2,8431,General farm workers
Prince Edward Island,HillTop Produce Ltd,,2,8611,Harvesting labourers
Prince Edward Island,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",3,8431,General farm workers
Prince Edward Island,Jewell's of PEI Inc,"York, PE C0A 1P0",9,8431,General farm workers
Prince Edward Island,Jewell's Produce,"York, PE C0A 1P0",18,8431,General farm workers
Prince Edward Island,Kildare Fisheries Ltd.,"Alberton, PE C0B 1B0",41,9463,Fish and seafood plant workers
Prince Edward Island,Kinkora Holdings Inc,"Kinkora, PE C0B 1N0",4,8611,Harvesting labourers
Prince Edward Island,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",1,8431,General farm workers
Prince Edward Island,MGS Holdings & Distribution Co Ltd,"Alberton, PE C0B 1B0",48,8431,General farm workers
Prince Edward Island,Newland Farms Inc.,"Hunter River, PE C0A 1N0",1,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,Nobra Holsteins Inc.,"Kensington, PE C0B 1M0",3,8431,General farm workers
Prince Edward Island,"North Lake Fisheries (2013), Inc.","Souris, PE C0A 2B0",20,9463,Fish and seafood plant workers
Prince Edward Island,PEI Select Tours Inc,"North Rustico, PE C0A 1X0",3,6531,Tour and travel guides
Prince Edward Island,Richie Foods,"Charlottetown, PE C1A 4N5",1,6311,Food service supervisors
Prince Edward Island,Royal Star Foods Ltd.,"Tignish, PE C0B 2B0",30,9463,Fish and seafood plant workers
Prince Edward Island,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",102,9463,Fish and seafood plant workers
Prince Edward Island,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",10,7511,Transport truck drivers
Prince Edward Island,Silver Hill Fur Farm Ltd.,"Tignish, PE C0B 2B0",6,8431,General farm workers
Prince Edward Island,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",79,9463,Fish and seafood plant workers
Prince Edward Island,South Shore Seafoods Ltd.,,28,9618,Labourers in fish and seafood processing
Prince Edward Island,Splendid Essence Restaurant Inc.,"Charlottetown, PE C1A 4R9",1,6322,Cooks
Prince Edward Island,The Prince Edward Family Restaurant,"Charlottetown, PE C1A 4L5",1,6322,Cooks
Prince Edward Island,Tourism Industry Association of Prince Edward Island,"Charlottetown, PE C1A 4A2",2,4163,Business development officers and marketing researchers and consultants
Prince Edward Island,van Diepen Produce Ltd,"Morell, PE C0A 1S0",14,8431,General farm workers
Prince Edward Island,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",83,8431,General farm workers
Prince Edward Island,Vanco Farms Ltd.,,4,8611,Harvesting labourers
Prince Edward Island,W P Griffin Inc,"Elmsdale, PE C0B 1K0",10,8431,General farm workers
Prince Edward Island,Winterbay Farm Inc.,"Millcove, PE C0A 1T0",2,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Nova Scotia,2122277 NS Ltd,"Kentville, NS B4N 3W4",3,6322,Cooks
Nova Scotia,3026021 Nova Scotia Ltd.,"Antigonish, NS B2G 2C5",1,6322,Cooks
Nova Scotia,3056092 Nova Scotia Ltd.,"Upper Tantallon, NS B3Z 1H3",1,6322,Cooks
Nova Scotia,3074889 Nova Scotia Ltd.,"Port Hawkesbury, NS B9A 2C2",2,6311,Food service supervisors
Nova Scotia,3099794 NS Ltd (Enfield Big Stop),"Enfield, NS B2T 1C8",4,6322,Cooks
Nova Scotia,3115695 Nova Scotia Ltd.,"Centreville, NS B0P 1J0",10,8431,General farm workers
Nova Scotia,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",177,8431,General farm workers
Nova Scotia,3243020 Nova Scotia Limited,"Halifax, NS B3J 2J6",8,6322,Cooks
Nova Scotia,3265524 Nova Scotia Ltd.,"Hubley, NS B3Z 1C1",1,6322,Cooks
Nova Scotia,3266726 Nova Scotia Limited,"Bedford, NS B4A 3Y4",3,6322,Cooks
Nova Scotia,3278591 Nova Scotia Ltd.,"Westphal, NS B2Z 1B1",1,6562,"Estheticians, electrologists and related occupations"
Nova Scotia,3290067 Nova Scotia Limited,"Halifax, NS B3M 2Y6",1,0213,Computer and information systems managers
Nova Scotia,3291087 Nova Scotia Limited,"Bridgewater, NS B4V 2V6",1,6322,Cooks
Nova Scotia,3297327 Nova Scotia Ltd.,"Musquodoboit Harbour, NS B0J 2L0",1,0015,Senior managers 
Nova Scotia,3298056 Nova Scotia Ltd,"Bedford, NS B4A 4M1",1,0015,Senior managers 
Nova Scotia,3298056 Nova Scotia Ltd,,1,0016,Senior managers 
Nova Scotia,3298056 Nova Scotia Ltd,,1,0911,Manufacturing managers
Nova Scotia,7109938 Canada Ltd,"Fall River, NS B2T 1H7",1,6341,Hairstylists and barbers
Nova Scotia,A & D Services Ltd,"New Minas, NS B4N 3K9",2,6322,Cooks
Nova Scotia,"Aaron's Canada, ULC","Halifax, NS B3J 2V1",1,0015,Senior managers 
Nova Scotia,Acuren Group Inc,"Dartmouth, NS B2Y 4P4",5,7384,"Other trades and related occupations, n.e.c."
Nova Scotia,Allen Farms Limited,"Centreville, NS B0P 1J0",78,8431,General farm workers
Nova Scotia,Arirang Restaurant Inc,"Halifax, NS B3M 3W8",1,6322,Cooks
Nova Scotia,Athletigen Technologies Inc.,"Halifax, NS B3J 3K5",1,2173,Software engineers and designers
Nova Scotia,"B&G Innkeepers, Ltd.","Halifax, NS B3K 2R9",1,6322,Cooks
Nova Scotia,Baan Thai Restaurant Ltd,"Halifax, NS B3J 1J7",1,6322,Cooks
Nova Scotia,Backoos Korean Togo Food Ltd,"Halifax, NS B3J 2J2",1,6311,Food service supervisors
Nova Scotia,Backoos Korean Togo Food Ltd,,2,6322,Cooks
Nova Scotia,Balamore Farm Ltd,"Great Village, NS B0M 1L0",14,8431,General farm workers
Nova Scotia,Barlomento Property Services,"Halifax, NS B3M 3Y5",1,1221,Administrative officers
Nova Scotia,Basinview Farms,"Canning, NS B0P 1H0",14,8431,General farm workers
Nova Scotia,Bione Restaurant Inc.,"Halifax, NS B3L 1A5",3,6322,Cooks
Nova Scotia,Birchleigh Farms Ltd,"Berwick, NS B0P 1E0",16,8431,General farm workers
Nova Scotia,Bitar's Pizza Pasta & Grill Ltd.,"Elmsdale, NS B2S 1A8",2,6322,Cooks
Nova Scotia,Blue Ridge Farm,"Grafton, NS B0P 1V0",4,8431,General farm workers
Nova Scotia,Bluemont Group Ltd.,"Fall River, NS B2T 1W8",1,6322,Cooks
Nova Scotia,"Bluenose Brewing Company, Inc","Lunenburg, NS B0J 2C0",1,0016,Senior managers 
Nova Scotia,Bragg Lumber Co Ltd,"Collingwood, NS B0M 1E0",5,8431,General farm workers
Nova Scotia,Burnott Limited,"New Glasgow, NS B2H 3S4",3,6311,Food service supervisors
Nova Scotia,Canard Orchards Ltd,"Centreville, NS B0P 1J0",14,8431,General farm workers
Nova Scotia,CAP Farms Inc,"Grafton, NS B0P 1V0",24,8431,General farm workers
Nova Scotia,Classic Freight Systems (2011) Ltd.,"Dartmouth, NS B3N 1N8",4,7511,Transport truck drivers
Nova Scotia,Clearwater Seafoods Limited Partnership,"Lunenburg, NS B0J 2C0",2,7242,Industrial electricians
Nova Scotia,CloudKettle Inc.,"Halifax, NS B3L 2W1",1,2174,Computer programmers and interactive media developers
Nova Scotia,Coastal Pizza Company Inc.,"Halifax, NS B3S 1B3",2,6322,Cooks
Nova Scotia,Comvest Commercial Reas Estate Inc.,"Halifax, NS B3J 3E5",1,6322,Cooks
Nova Scotia,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",61,8431,General farm workers
Nova Scotia,Crisp Growers Inc.,"Berwick, NS B0P 1E0",12,8431,General farm workers
Nova Scotia,Dalhousie University,"Halifax, NS B3H 4R2",2,3111,Specialist physicians
Nova Scotia,Dalhousie University,,6,4011,University professors and lecturers
Nova Scotia,Darrell's Restaurant 5576 Fenwick Limited,"Halifax, NS B3H 1P8",2,6322,Cooks
Nova Scotia,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",9,8432,Nursery and greenhouse workers
Nova Scotia,den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",22,8432,Nursery and greenhouse workers
Nova Scotia,Devonian Coast Wineries Limited,"Malagash, NS B0K 1E0",1,0911,Manufacturing managers
Nova Scotia,DONDAR HOLDINGS LTD,"Halifax, NS B3S 1B7",3,7322,Motor vehicle body repairers
Nova Scotia,Doraku Foods Ltd,"Halifax, NS B3J 2A4",1,6322,Cooks
Nova Scotia,Double Dragon Restaurant Inc.,"New Minas, NS B4N 3E2",1,6322,Cooks
Nova Scotia,eEye Inc.,"Halifax, NS B3J 2N4",1,6221,Technical sales specialists 
Nova Scotia,El Centro Pizza,"Lawrencetown, NS B2Z 1L2",1,6322,Cooks
Nova Scotia,"Elite Balsam Products, Inc","St Andrews, NS B0H 1X0",6,8432,Nursery and greenhouse workers
Nova Scotia,Ellslea Farms Limited,"Canning, NS B0P 1H0",3,8431,General farm workers
Nova Scotia,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",27,8431,General farm workers
Nova Scotia,EM&I Stantec Ltd.,"Dartmouth, NS B3B 1S1",3,2261,Non
Nova Scotia,Eyking Brothers Farm Ltd,"Millville, NS B1Y 2E2",20,8431,General farm workers
Nova Scotia,Eyking Under Glass Ltd,"Millville, NS B1Y 2E1",6,8432,Nursery and greenhouse workers
Nova Scotia,Farnell Packaging Ltd,"Dartmouth, NS B3B 1L3",1,9214,"Supervisors, plastic and rubber products manufacturing"
Nova Scotia,Forca Training Centre,"Dartmouth, NS B2W 5G7",1,5254,"Program leaders and instructors in recreation, sport and fitness"
Nova Scotia,Fox Harb'r Development Limited,"Wallace, NS B0K 1Y0",2,6321,Chefs
Nova Scotia,Fresh Casual Restaurants Inc Fredericton o/a Swiss Chalet,"Amherst, NS B4H 4L2",2,6322,Cooks
Nova Scotia,Fresh Casual Restaurants Inc. Charlottetown o/a Swiss Chalet,"Amherst, NS B4H 4L2",2,6322,Cooks
Nova Scotia,Fresh Casual Restaurants Inc. Dieppe o/a Swiss Chalet,"Amherst, NS B4H 4L2",4,6322,Cooks
Nova Scotia,Fuller Brothers,"Avonport, NS B0P 1B0",10,8431,General farm workers
Nova Scotia,Funsion Enterprises Ltd.,"Halifax, NS B3J 3Z2",1,6211,Retail sales supervisors
Nova Scotia,Future Stars' Learning Centre,"Halifax, NS B3S 1G5",2,4214,Early childhood educators and assistants
Nova Scotia,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",8,8431,General farm workers
Nova Scotia,G & C Hughes Enterprises Ltd,,23,8432,Nursery and greenhouse workers
Nova Scotia,G. K. Morse Trucking Ltd.,"Centreville, NS B0P 1J0",4,7511,Transport truck drivers
Nova Scotia,Gabadi Services Canada Inc.,"Halifax, NS B3J 3N2",7,7235,Structural metal and platework fabricators and fitters
Nova Scotia,Garden View Restaurant Ltd,"Dartmouth, NS B2X 1S2",1,6322,Cooks
Nova Scotia,Good Air Ventilation System Inc.,"Halifax, NS B3J 2G1",1,0621,Retail and wholesale trade managers
Nova Scotia,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",4,7511,Transport truck drivers
Nova Scotia,H B Morse & Son,"Berwick, NS B0P 1E0",15,8431,General farm workers
Nova Scotia,Halifax ALTA Gymnastics Club,"Halifax, NS B3L 4T7",1,5252,Coaches
Nova Scotia,Halifax Glassworks Limited,"Halifax, NS B3J 2P8",1,5244,Artisans and craftspersons
Nova Scotia,Halterm Container Terminal Limited Partnership,"Halifax, NS B3J 2X1",1,1122,Professional occupations in business management consulting
Nova Scotia,Health Outcomes Worldwide Inc,"New Waterford, NS B1H 4K4",1,2173,Software engineers and designers
Nova Scotia,HGC Transport Ltd. (1445913 Ontario Inc.),"Halifax, NS B3J 3N2",4,7511,Transport truck drivers
Nova Scotia,Hillside Orchards,"Berwick, NS B0P 1E0",12,8431,General farm workers
Nova Scotia,Immigration Consultant Atlantic Ltd.,"Halifax, NS B3J 3N2",1,6552,Other customer and information services representatives
Nova Scotia,Imp Group Limited,"Amherst, NS B4H 4J6",1,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
